"Source:","/home/heller/RRCircuits/ESP32-PWMHalfSidingSMD/ESP32-PWMHalfSidingSMD.sch"
"Date:","Fri 17 Dec 2021 03:16:03 PM EST"
"Tool:","Eeschema 4.0.7+dfsg1-1ubuntu2"
"Generator:","/usr/lib/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","63"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mouser Part Number"
"21","2","R3, R5","10 Ohms","ESP32-PWMHalfSidingSMD-cache:R-RESCUE-ESP32-PWMHalfSidingSMD","Resistors_SMD:R_0603","","71-CRCW060310R0FKEAC"
"22","2","R4, R6","2.7K Ohms","ESP32-PWMHalfSidingSMD-cache:R-RESCUE-ESP32-PWMHalfSidingSMD","Resistors_SMD:R_0603","","71-CRCW06032K70JNEAC"
"23","2","R7, R8","2.4K","device:R","Resistors_SMD:R_0603","","71-CRCW06032K40JNEAC "
"24","2","RP601, RP602","1.5K Ohms","ESP32-PWMHalfSidingSMD-cache:R_PACK8","48xxP:4816P","","652-4816P-T1LF-1.5K"
"25","1","RR101","10K Ohms","4814p-2:4814P-2","48xxP:4814P","","652-4814P-T2LF-10K"
"26","1","T1","- 15 in +","ESP32-PWMHalfSidingSMD-cache:CONN_2","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","651-1725656"
"27","1","T2","- 15 out +","ESP32-PWMHalfSidingSMD-cache:CONN_2","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","651-1725656"
"28","1","T3","In Track1 Out","ESP32-PWMHalfSidingSMD-cache:CONN_2","Connectors:bornier2","","490-TB007-508-02BE"
"29","1","T4","Motor 1","ESP32-PWMHalfSidingSMD-cache:CONN_5","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_5pol","","651-1725685"
"30","1","T5","Motor 2","ESP32-PWMHalfSidingSMD-cache:CONN_5","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_5pol","","651-1725685"
"31","1","T6","In Track2 Out","ESP32-PWMHalfSidingSMD-cache:CONN_2","Connectors:bornier2","","490-TB007-508-02BE"
"32","1","T601","+ 12V -","ESP32-PWMHalfSidingSMD-cache:CONN_2","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","651-1725656"
"33","1","U0","ESP32_DEVKIT_C or TTGO-T1","esp32_devboards:ESP32_DEVKIT_C","ESP32-Boards:ESP32-Combo","","2x 517-929974-01-19-RK, 1x 517-929850-01-18-10"
"34","1","U1","TCAN332DR","sn65hvd233-ht:TCAN332DR","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","595-TCAN332DR"
"35","1","U3","LM2574N-5.0","lm2574n-5:LM2574HVM-5.0","SOIC_Wide:SOIC-14_7.4x8.7mm_Pitch1.27mm","","926-LM2574N-5.0/NOPB"
"36","2","U7, U8","TC4428","tc442x:TC4428","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","579-TC4428VOA"
"37","1","U9","74HCT00","74xx:74HCT00","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm","","595-SN74AHC00D"
"38","1","U601","PCA9685","pca9685:PCA9685","Housings_SSOP:TSSOP-28_4.4x9.7mm_Pitch0.65mm","","771-PCA9685PW,118"
"39","2","U602, U603","TBD62X83A","tbd62x83a:TBD62X83A","Housings_SOIC:SOIC-18W_7.5x11.6mm_Pitch1.27mm","","757-TBD62083AFG or 757-TBD62783AFG"
